simID,repeatID,weather_path,c.clone_ID,c.clone_of_cultivar,c.clone_size,c.clone_location_x,c.clone_location_y,c.clone_avg_beevisits_stem,c.clone_fruitset_mean,c.clone_fruitset_std,c.clone_fruitsetII_mean,c.clone_fruitsetII_std,c.clone_fruitmass_mean,c.clone_seeds_mean,c.clone_seeds_std,c.clone_healthy_berries,c.clone_malformed_berries,c.clone_percent_malformed_berries,c.clone_pollen_accepted,c.clone_pollen_received
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone174,1,0.03121445152258042,6.100000000000001,2.9000000000000004,9.333333333333334,1.0,0.0,1.0,0.0,10.154166666666667,182.66666666666666,10.274023338281626,12,12,1.0,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone175,2,0.03121445152258042,6.100000000000001,3.0999999999999996,9.333333333333334,1.0,0.0,1.0,0.0,10.379166666666666,143.16666666666666,125.67175056029451,12,6,0.5,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone176,1,0.03121445152258042,6.100000000000001,3.5,6.0,1.0,0.0,1.0,0.0,6.1375,97.33333333333333,22.892664197818345,12,12,1.0,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone177,2,0.03121445152258042,6.100000000000001,3.7,5.333333333333333,1.0,0.0,1.0,0.0,6.75,96.66666666666667,59.07684888409396,12,12,1.0,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone178,1,0.03121445152258042,6.100000000000001,4.1,2.0,1.0,0.0,1.0,0.0,3.954166666666667,52.88888888888889,20.994414307114297,12,12,1.0,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone179,2,0.03121445152258042,6.100000000000001,4.299999999999999,6.0,1.0,0.0,1.0,0.0,7.820833333333334,118.99999999999999,50.253431797315166,12,12,1.0,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone180,1,0.03121445152258042,6.100000000000001,4.7,2.3333333333333335,0.5833333333333334,0.41573970964154905,0.4444444444444444,0.41573970964154905,5.270833333333334,63.05555555555555,87.76360645098828,7,7,1.0,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone181,2,0.03121445152258042,6.100000000000001,4.900000000000001,6.666666666666667,0.9166666666666666,0.15713484026367724,0.8888888888888888,0.15713484026367724,8.6125,137.27777777777777,78.39339698825421,11,10,0.9090909090909091,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone182,1,0.03121445152258042,6.100000000000001,5.3,2.0,0.6666666666666666,0.41573970964154905,0.5555555555555555,0.41573970964154905,3.883333333333333,46.333333333333336,54.93076450304409,8,8,1.0,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone183,2,0.03121445152258042,6.100000000000001,5.5,3.6666666666666665,0.75,0.4714045207910317,0.6666666666666666,0.4714045207910317,5.583333333333333,76.05555555555556,64.86486427399622,9,9,1.0,0.0,0.0
